73	09	55	17	59	65	18
36	93	61	39	71	49	68
48	23	81	62	31	60	63
86	35	04	56	96	52	63
32	49	53	20	58	32	20
93	31	81	50	17	69	81
79	53	10	87	05	50	67
39	68	36	96	33	80	47
25	43	90	36	25	76	27
07	47	04	24	43	26	34
19	77	80	01	50	28	13
59	91	92	68	01	68	05
80	47	19	62	41	92	15
61	47	46	28	83	13	67
99	80	70	84	31	40	67
46	84	06	70	74	57	66
44	67	92	32	03	57	26
43	78	58	73	98	13	84
76	97	94	76	06	50	45
92	78	60	25	68	53	46
29	48	11	08	79	52	33
45	75	82	37	43	71	11
57	16	01	14	93	80	25
80	41	01	38	27	89	60
15	09	27	36	83	42	38
05	97	19	75	85	41	82
34	85	97	02	16	72	48
19	53	14	87	62	30	89
65	06	97	45	78	16	22
76	23	14	89	66	93	58
72	40	56	14	27	61	84
20	38	98	41	68	50	75
81	27	56	68	47	03	08
37	52	85	72	82	75	01
19	**	41	64	15	15	69
93	09	31	10	85	37	85
33	16	56	66	77	91	59
15	60	90	54	18	94	12
97	49	60	93	12	24	40
54	06	26	28	87	27	14
27	72	26	72	52	59	30
00	67	36	09	70	87	22
31	86	62	09	63	97	17
94	94	14	33	13	02	13
77	18	79	62	09	80	28
54	86	55	44	55	75	14
53	99	11	89	19	73	64
48	39	64	87	80	06	79
59	33	75	61	23	40	91
26	30	56	71	20	49	79
88	56	42	10	66	95	41
12	62	09	90	25	62	16
48	36	75	27	45	22	60
45	38	40	73	09	73	30
44	19	91	73	31	06	54
35	17	91	75	76	83	72
89	06	13	79	08	35	69
75	20	60	56	18	95	22
91	28	72	19	21	43	67
69	12	90	65	99	35	66
83	32	18	49	61	89	48
28	48	18	12	20	63	41
12	60	75	49	15	89	90
12	50	61	73	52	36	05
73	93	89	79	68	29	12
**	00	16	23	34	96	41
99	54	66	14	49	99	57
19	29	58	81	10	01	20
87	51	24	81	49	06	68
49	60	13	31	14	33	07
39	47	17	69	07	23	15
57	20	02	11	43	71	93
68	43	20	09	47	69	93
55	66	10	50	71	25	76
26	92	17	78	54	04	22
15	25	76	61	01	79	93
23	00	53	66	05	50	18
99	22	13	19	69	73	63
75	93	07	42	58	29	89
40	63	03	55	30	74	64
05	73	23	28	96	51	04
82	93	70	73	33	97	16
97	54	44	73	59	87	26
30	78	54	16	50	90	18
69	14	99	44	39	51	75
35	59	17	42	24	81	33
53	66	91	43	58	00	30
48	32	75	02	84	92	14
28	33	41	19	86	48	54
11	47	94	85	05	65	21
58	07	90	11	97	47	57
92	49	11	10	96	18	40
62	92	81	88	18	94	83
98	44	03	25	54	49	87
62	38	26	47	17	08	33
25	55	76	07	88	60	53
30	87	25	31	**	54	09
81	94	40	85	28	15	08
10	97	46	64	19	37	22
87	08	46	93	02	16	67
43	54	18	38	84	93	79
51	31	75	59	42	79	14
40	50	96	46	33	19	70
13	67	76	46	75	12	54
45	69	97	77	27	95	54
44	76	51	73	47	90	11
94	00	59	65	43	39	60
56	98	78	61	43	14	98
53	18	68	10	03	56	88
05	41	14	95	20	70	82
82	04	83	34	99	11	24
92	63	33	06	13	56	03
51	77	26	01	10	52	36
16	35	11	54	67	44	01
14	50	48	34	13	24	11
33	14	07	45	63	75	09
29	07	69	70	27	29	50
95	48	64	37	76	44	37
87	99	30	20	47	07	44
04	56	43	32	22	60	41
89	14	44	59	10	46	87
67	30	18	31	55	13	39
97	50	40	79	59	02	77
60	06	51	10	50	27	95
18	06	83	93	55	60	00
67	31	81	21	68	92	41
25	59	02	29	38	93	79
98	28	05	50	25	08	83
58	93	30	73	53	17	99
88	15	91	75	10	73	28
92	10	82	96	18	41	98
67	86	76	22	67	72	61
01	20	35	21	00	70	28
40	87	37	96	10	92	09
77	56	89	54	00	53	39
20	08	93	32	80	65	13
92	17	36	99	83	25	94
72	13	05	63	02	14	69
98	17	51	04	20	96	74
45	01	07	42	80	98	51
15	24	69	40	48	32	51
77	48	74	22	84	78	32
23	08	72	13	29	76	69
56	71	50	65	06	55	07
67	01	32	07	06	68	52
04	03	53	60	73	07	80
83	68	17	92	68	11	26
99	14	73	95	02	87	03
29	87	13	42	52	96	48
18	47	21	31	88	23	71
20	19	13	29	85	80	19
03	82	79	45	10	40	09
71	13	52	18	68	67	92
40	48	98	40	90	93	20
65	95	89	19	54	63	88
62	35	69	63	44	51	44
59	99	66	69	99	01	60
57	68	04	84	08	71	80
97	55	54	59	66	65	70
98	98	65	29	65	13	17
71	58	53	52	99	23	39
92	60	22	33	11	61	39
39	39	14	18	17	81	24
85	64	89	16	30	00	20
12	28	77	76	98	43	15
97	77	36	74	15	92	12
52	12	17	24	15	30	95
51	92	44	54	22	58	49
11	07	58	06	88	92	16
30	23	54	81	37	53	65
76	08	23	40	60	73	22
32	33	40	27	47	02	80
22	81	07	73	48	39	89
32	20	92	10	08	45	19
47	05	86	52	05	26	57
38	19	32	96	04	59	16
89	54	76	17	63	00	69
95	01	45	87	93	20	55
05	04	27	89	86	19	20
66	70	67	17	43	13	67
29	52	39	61	15	36	73
14	95	76	20	87	15	42
60	11	39	40	21	86	09
70	69	02	71	84	13	68
18	42	73	27	44	75	23
72	89	31	83	19	96	03
70	65	18	34	65	80	52
88	93	59	20	85	38	73
26
10
94
32
32
